Core, 0
Cumulative Cycles, 14929119            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.33966
Periodic Cycles, 7407815             
Periodic Instructions, 10000000            
Periodic IPC, 1.34993

BTB_ON_PATH_MISS_count,        351302
BTB_ON_PATH_MISS_pct,       19.824
BTB_ON_PATH_MISS_total_count,        707071
BTB_ON_PATH_MISS_total_pct,       19.875

BTB_ON_PATH_HIT_count,       1420802
BTB_ON_PATH_HIT_pct,       80.176
BTB_ON_PATH_HIT_total_count,       2850553
BTB_ON_PATH_HIT_total_pct,       80.125
BTB_ON_PATH_HIT_sum_count,       1772104
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       3557624
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.80
BTB_ON_PATH_HIT_stddev,         0.74
BTB_ON_PATH_HIT_total_mean,         0.80
BTB_ON_PATH_HIT_total_stddev,         0.74

BTB_OFF_PATH_MISS_count,       1733376
BTB_OFF_PATH_MISS_pct,       19.406
BTB_OFF_PATH_MISS_total_count,       3489473
BTB_OFF_PATH_MISS_total_pct,       19.472

BTB_OFF_PATH_HIT_count,       7198920
BTB_OFF_PATH_HIT_pct,       80.594
BTB_OFF_PATH_HIT_total_count,      14430943
BTB_OFF_PATH_HIT_total_pct,       80.528
BTB_OFF_PATH_HIT_sum_count,       8932296
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,      17920416
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.81
BTB_OFF_PATH_HIT_stddev,         0.74
BTB_OFF_PATH_HIT_total_mean,         0.81
BTB_OFF_PATH_HIT_total_stddev,         0.74

BTB_ON_PATH_WRITE_count,         57306
BTB_ON_PATH_WRITE_pct,       99.960
BTB_ON_PATH_WRITE_total_count,        115181
BTB_ON_PATH_WRITE_total_pct,       99.884

BTB_OFF_PATH_WRITE_count,            23
BTB_OFF_PATH_WRITE_pct,        0.040
BTB_OFF_PATH_WRITE_total_count,           134
BTB_OFF_PATH_WRITE_total_pct,        0.116
BTB_OFF_PATH_WRITE_sum_count,         57329
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        115315
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.02
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.03

BP_ON_PATH_CORRECT_count,       1620441
BP_ON_PATH_CORRECT_pct,       91.442
BP_ON_PATH_CORRECT_total_count,       3252981
BP_ON_PATH_CORRECT_total_pct,       91.437

BP_ON_PATH_MISPREDICT_count,        145461
BP_ON_PATH_MISPREDICT_pct,        8.208
BP_ON_PATH_MISPREDICT_total_count,        292133
BP_ON_PATH_MISPREDICT_total_pct,        8.211

BP_ON_PATH_MISFETCH_count,          6202
BP_ON_PATH_MISFETCH_pct,        0.350
BP_ON_PATH_MISFETCH_total_count,         12510
BP_ON_PATH_MISFETCH_total_pct,        0.352
BP_ON_PATH_MISFETCH_sum_count,       1772104
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       3557624
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.09
BP_ON_PATH_MISFETCH_stddev,         0.28
BP_ON_PATH_MISFETCH_total_mean,         0.09
BP_ON_PATH_MISFETCH_total_stddev,         0.28

BP_OFF_PATH_CORRECT_count,       7775127
BP_OFF_PATH_CORRECT_pct,       87.045
BP_OFF_PATH_CORRECT_total_count,      15605397
BP_OFF_PATH_CORRECT_total_pct,       87.082

BP_OFF_PATH_MISPREDICT_count,       1038669
BP_OFF_PATH_MISPREDICT_pct,       11.628
BP_OFF_PATH_MISPREDICT_total_count,       2079348
BP_OFF_PATH_MISPREDICT_total_pct,       11.603

BP_OFF_PATH_MISFETCH_count,        118500
BP_OFF_PATH_MISFETCH_pct,        1.327
BP_OFF_PATH_MISFETCH_total_count,        235671
BP_OFF_PATH_MISFETCH_total_pct,        1.315
BP_OFF_PATH_MISFETCH_sum_count,       8932296
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,      17920416
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.14
BP_OFF_PATH_MISFETCH_stddev,         0.36
BP_OFF_PATH_MISFETCH_total_mean,         0.14
BP_OFF_PATH_MISFETCH_total_stddev,         0.36

LATE_BP_ON_PATH_CORRECT_count,       1772104
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       3557624
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1772104
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       3557624
