Core, 0
Cumulative Cycles, 17067298            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.17183
Periodic Cycles, 8561237             
Periodic Instructions, 9999997             
Periodic IPC, 1.16806

EXECUTION_TIME_count, 2675386562500
EXECUTION_TIME_total_count, 5333530625000

NODE_CYCLE_count,       8561237
NODE_CYCLE_total_count,      17067298

NODE_INST_COUNT_count,       9999997
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999997
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      11371087
NODE_UOP_COUNT_total_count,      22729224

FULL_WINDOW_STALL_count,       5294706
FULL_WINDOW_STALL_pct,       61.845
FULL_WINDOW_STALL_total_count,      10464114
FULL_WINDOW_STALL_total_pct,       61.311

FULL_WINDOW_MEM_OP_count,        631725
FULL_WINDOW_MEM_OP_pct,       14.065
FULL_WINDOW_MEM_OP_total_count,       1283798
FULL_WINDOW_MEM_OP_total_pct,       14.453

FULL_WINDOW_FP_OP_count,       3716393
FULL_WINDOW_FP_OP_pct,       82.742
FULL_WINDOW_FP_OP_total_count,       7311506
FULL_WINDOW_FP_OP_total_pct,       82.313

FULL_WINDOW_OTHER_OP_count,        143415
FULL_WINDOW_OTHER_OP_pct,        3.193
FULL_WINDOW_OTHER_OP_total_count,        287281
FULL_WINDOW_OTHER_OP_total_pct,        3.234
FULL_WINDOW_OTHER_OP_sum_count,       4491533
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       8882585
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.89
FULL_WINDOW_OTHER_OP_stddev,         0.27
FULL_WINDOW_OTHER_OP_total_mean,         0.89
FULL_WINDOW_OTHER_OP_total_stddev,         0.28

RET_BLOCKED_DC_MISS_count,         60184
RET_BLOCKED_DC_MISS_pct,        0.703
RET_BLOCKED_DC_MISS_total_count,        187053
RET_BLOCKED_DC_MISS_total_pct,        1.096

RET_BLOCKED_L1_MISS_count,         12664
RET_BLOCKED_L1_MISS_pct,        0.148
RET_BLOCKED_L1_MISS_total_count,         83262
RET_BLOCKED_L1_MISS_total_pct,        0.488

RET_BLOCKED_L1_MISS_BW_PREF_count,          5585
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.065
RET_BLOCKED_L1_MISS_BW_PREF_total_count,         11180
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.066

RET_BLOCKED_L1_ACCESS_count,         47548
RET_BLOCKED_L1_ACCESS_pct,        0.555
RET_BLOCKED_L1_ACCESS_total_count,        105615
RET_BLOCKED_L1_ACCESS_total_pct,        0.619

RET_BLOCKED_MEM_STALL_count,         12841
RET_BLOCKED_MEM_STALL_pct,        0.150
RET_BLOCKED_MEM_STALL_total_count,         83717
RET_BLOCKED_MEM_STALL_total_pct,        0.491

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      13352829
OP_ISSUED_total_count,      26806547

OP_RETIRED_count,      11371087
OP_RETIRED_total_count,      22729224

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         21304
LD_NO_DEPENDENTS_pct,        0.712
LD_NO_DEPENDENTS_total_count,         43495
LD_NO_DEPENDENTS_total_pct,        0.728

LD_DEPENDENTS_count,       2970547
LD_DEPENDENTS_pct,       99.288
LD_DEPENDENTS_total_count,       5931590
LD_DEPENDENTS_total_pct,       99.272
LD_DEPENDENTS_sum_count,       2991851
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       5975085
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.99
LD_DEPENDENTS_stddev,         0.99
LD_DEPENDENTS_total_mean,         0.99
LD_DEPENDENTS_total_stddev,         0.99

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          1064
LD_EXEC_CYCLES_3_pct,       38.191
