Core, 0
Cumulative Cycles, 13229393            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.51179
Periodic Cycles, 6699295             
Periodic Instructions, 9999997             
Periodic IPC, 1.49269

BTB_ON_PATH_MISS_count,        115343
BTB_ON_PATH_MISS_pct,        2.230
BTB_ON_PATH_MISS_total_count,        238959
BTB_ON_PATH_MISS_total_pct,        2.391

BTB_ON_PATH_HIT_count,       5057621
BTB_ON_PATH_HIT_pct,       97.770
BTB_ON_PATH_HIT_total_count,       9754113
BTB_ON_PATH_HIT_total_pct,       97.609
BTB_ON_PATH_HIT_sum_count,       5172964
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       9993072
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.98
BTB_ON_PATH_HIT_stddev,         0.97
BTB_ON_PATH_HIT_total_mean,         0.98
BTB_ON_PATH_HIT_total_stddev,         0.96

BTB_OFF_PATH_MISS_count,        200426
BTB_OFF_PATH_MISS_pct,       13.428
BTB_OFF_PATH_MISS_total_count,        406000
BTB_OFF_PATH_MISS_total_pct,       13.323

BTB_OFF_PATH_HIT_count,       1292128
BTB_OFF_PATH_HIT_pct,       86.572
BTB_OFF_PATH_HIT_total_count,       2641332
BTB_OFF_PATH_HIT_total_pct,       86.677
BTB_OFF_PATH_HIT_sum_count,       1492554
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       3047332
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.87
BTB_OFF_PATH_HIT_stddev,         0.82
BTB_OFF_PATH_HIT_total_mean,         0.87
BTB_OFF_PATH_HIT_total_stddev,         0.82

BTB_ON_PATH_WRITE_count,         62963
BTB_ON_PATH_WRITE_pct,       99.954
BTB_ON_PATH_WRITE_total_count,        132497
BTB_ON_PATH_WRITE_total_pct,       99.825

BTB_OFF_PATH_WRITE_count,            29
BTB_OFF_PATH_WRITE_pct,        0.046
BTB_OFF_PATH_WRITE_total_count,           232
BTB_OFF_PATH_WRITE_total_pct,        0.175
BTB_OFF_PATH_WRITE_sum_count,         62992
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        132729
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.02
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.04

BP_ON_PATH_CORRECT_count,       5145562
BP_ON_PATH_CORRECT_pct,       99.470
BP_ON_PATH_CORRECT_total_count,       9935707
BP_ON_PATH_CORRECT_total_pct,       99.426

BP_ON_PATH_MISPREDICT_count,         27328
BP_ON_PATH_MISPREDICT_pct,        0.528
BP_ON_PATH_MISPREDICT_total_count,         57223
BP_ON_PATH_MISPREDICT_total_pct,        0.573

BP_ON_PATH_MISFETCH_count,            74
BP_ON_PATH_MISFETCH_pct,        0.001
BP_ON_PATH_MISFETCH_total_count,           142
BP_ON_PATH_MISFETCH_total_pct,        0.001
BP_ON_PATH_MISFETCH_sum_count,       5172964
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       9993072
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.01
BP_ON_PATH_MISFETCH_stddev,         0.07
BP_ON_PATH_MISFETCH_total_mean,         0.01
BP_ON_PATH_MISFETCH_total_stddev,         0.08

BP_OFF_PATH_CORRECT_count,       1091855
BP_OFF_PATH_CORRECT_pct,       73.153
BP_OFF_PATH_CORRECT_total_count,       2234619
BP_OFF_PATH_CORRECT_total_pct,       73.330

BP_OFF_PATH_MISPREDICT_count,        364249
BP_OFF_PATH_MISPREDICT_pct,       24.404
BP_OFF_PATH_MISPREDICT_total_count,        737851
BP_OFF_PATH_MISPREDICT_total_pct,       24.213

BP_OFF_PATH_MISFETCH_count,         36450
BP_OFF_PATH_MISFETCH_pct,        2.442
BP_OFF_PATH_MISFETCH_total_count,         74862
BP_OFF_PATH_MISFETCH_total_pct,        2.457
BP_OFF_PATH_MISFETCH_sum_count,       1492554
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       3047332
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.29
BP_OFF_PATH_MISFETCH_stddev,         0.44
BP_OFF_PATH_MISFETCH_total_mean,         0.29
BP_OFF_PATH_MISFETCH_total_stddev,         0.44

LATE_BP_ON_PATH_CORRECT_count,       5172964
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       9993072
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       5172964
