Core, 0
Cumulative Cycles, 15379763            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.30041
Periodic Cycles, 7762702             
Periodic Instructions, 10000000            
Periodic IPC, 1.28821

BTB_ON_PATH_MISS_count,        186271
BTB_ON_PATH_MISS_pct,        8.577
BTB_ON_PATH_MISS_total_count,        383959
BTB_ON_PATH_MISS_total_pct,        9.157

BTB_ON_PATH_HIT_count,       1985522
BTB_ON_PATH_HIT_pct,       91.423
BTB_ON_PATH_HIT_total_count,       3809210
BTB_ON_PATH_HIT_total_pct,       90.843
BTB_ON_PATH_HIT_sum_count,       2171793
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4193169
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.91
BTB_ON_PATH_HIT_stddev,         0.88
BTB_ON_PATH_HIT_total_mean,         0.91
BTB_ON_PATH_HIT_total_stddev,         0.87

BTB_OFF_PATH_MISS_count,        199309
BTB_OFF_PATH_MISS_pct,       14.827
BTB_OFF_PATH_MISS_total_count,        439305
BTB_OFF_PATH_MISS_total_pct,       15.623

BTB_OFF_PATH_HIT_count,       1144915
BTB_OFF_PATH_HIT_pct,       85.173
BTB_OFF_PATH_HIT_total_count,       2372675
BTB_OFF_PATH_HIT_total_pct,       84.377
BTB_OFF_PATH_HIT_sum_count,       1344224
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       2811980
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.85
BTB_OFF_PATH_HIT_stddev,         0.80
BTB_OFF_PATH_HIT_total_mean,         0.84
BTB_OFF_PATH_HIT_total_stddev,         0.79

BTB_ON_PATH_WRITE_count,         33123
BTB_ON_PATH_WRITE_pct,       99.008
BTB_ON_PATH_WRITE_total_count,         70463
BTB_ON_PATH_WRITE_total_pct,       98.858

BTB_OFF_PATH_WRITE_count,           332
BTB_OFF_PATH_WRITE_pct,        0.992
BTB_OFF_PATH_WRITE_total_count,           814
