Core, 0
Cumulative Cycles, 8346650             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.39617
Periodic Cycles, 4127205             
Periodic Instructions, 10000000            
Periodic IPC, 2.42295

EXECUTION_TIME_count, 1289751562500
EXECUTION_TIME_total_count, 2608328125000

NODE_CYCLE_count,       4127205
NODE_CYCLE_total_count,       8346650

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      13135440
NODE_UOP_COUNT_total_count,      26271409

FULL_WINDOW_STALL_count,             0
FULL_WINDOW_STALL_pct,        0.000
FULL_WINDOW_STALL_total_count,          1022
FULL_WINDOW_STALL_total_pct,        0.012

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,           955
FULL_WINDOW_MEM_OP_total_pct,      100.000

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,           955
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.00

RET_BLOCKED_DC_MISS_count,             0
RET_BLOCKED_DC_MISS_pct,        0.000
RET_BLOCKED_DC_MISS_total_count,          5245
RET_BLOCKED_DC_MISS_total_pct,        0.063

RET_BLOCKED_L1_MISS_count,             0
RET_BLOCKED_L1_MISS_pct,        0.000
RET_BLOCKED_L1_MISS_total_count,          2441
RET_BLOCKED_L1_MISS_total_pct,        0.029

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           561
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.007

RET_BLOCKED_L1_ACCESS_count,             0
RET_BLOCKED_L1_ACCESS_pct,        0.000
RET_BLOCKED_L1_ACCESS_total_count,          2877
RET_BLOCKED_L1_ACCESS_total_pct,        0.034

RET_BLOCKED_MEM_STALL_count,             0
RET_BLOCKED_MEM_STALL_pct,        0.000
RET_BLOCKED_MEM_STALL_total_count,          2441
RET_BLOCKED_MEM_STALL_total_pct,        0.029

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      15836295
OP_ISSUED_total_count,      31818710

OP_RETIRED_count,      13135440
OP_RETIRED_total_count,      26271409

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         60932
LD_NO_DEPENDENTS_pct,        1.996
LD_NO_DEPENDENTS_total_count,        124454
LD_NO_DEPENDENTS_total_pct,        2.040

LD_DEPENDENTS_count,       2991709
LD_DEPENDENTS_pct,       98.004
LD_DEPENDENTS_total_count,       5976897
LD_DEPENDENTS_total_pct,       97.960
LD_DEPENDENTS_sum_count,       3052641
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       6101351
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.98
LD_DEPENDENTS_stddev,         0.97
LD_DEPENDENTS_total_mean,         0.98
LD_DEPENDENTS_total_stddev,         0.97

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,         -nan
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,             0
LD_EXEC_CYCLES_3_pct,         -nan
LD_EXEC_CYCLES_3_total_count,             0
LD_EXEC_CYCLES_3_total_pct,        0.000

LD_EXEC_CYCLES_4_count,             0
LD_EXEC_CYCLES_4_pct,         -nan
LD_EXEC_CYCLES_4_total_count,             2
LD_EXEC_CYCLES_4_total_pct,      100.000
LD_EXEC_CYCLES_4_sum_count,             0
LD_EXEC_CYCLES_4_sum_pct,         -nan
LD_EXEC_CYCLES_4_sum_total_count,             2
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         -nan
LD_EXEC_CYCLES_4_stddev,         -nan
LD_EXEC_CYCLES_4_total_mean,         4.00
LD_EXEC_CYCLES_4_total_stddev,         5.66

ICACHE_STAGE_STARVED_count,            28
ICACHE_STAGE_STARVED_pct,        0.001
ICACHE_STAGE_STARVED_total_count,          3043
ICACHE_STAGE_STARVED_total_pct,        0.055

ICACHE_STAGE_NOT_STARVED_count,       2756999
ICACHE_STAGE_NOT_STARVED_pct,       99.999
ICACHE_STAGE_NOT_STARVED_total_count,       5513629
ICACHE_STAGE_NOT_STARVED_total_pct,       99.945
ICACHE_STAGE_NOT_STARVED_sum_count,       2757027
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,       5516672
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,             0
